0,1,2
821,821,06-2017,assam
822,822,06-2017,gujarat
823,823,06-2017,assam
824,824,06-2017,goa
825,825,06-2017,assam
826,826,06-2017,assam
827,827,06-2017,assam
828,828,06-2017,assam
829,829,06-2017,madhya pradesh
830,830,06-2017,manipur
831,831,06-2017,bihar
832,832,06-2017,assam
833,833,06-2017,assam
834,834,06-2017,assam
835,835,08-2017,bihar
836,836,08-2017,uttar pradesh
837,837,08-2017,west bengal
838,838,08-2017,maharashtra
839,839,08-2017,maharashtra
840,840,08-2017,maharashtra
841,841,10-2017,tamil nadu
842,842,08-2017,uttar pradesh
843,843,08-1968,gujrat
844,844,10-1968,sikkim
845,845,11-1968,bihar
846,846,09-1970,maharashtra
847,847,06-1973,assam
848,848,06-1973,assam
849,849,07-1973,madhya pradesh
850,850,07-1973,odisha
851,851,07-1973,himachal pradesh
852,852,10-1973,bihar
853,853,10-1973,uttar pradesh
854,854,07-1974,maharashtra
855,855,07-1974,kerala
856,856,05-1975,assam
857,857,05-1975,assam
858,858,06-1975,goa
859,859,06-1975,assam
860,860,06-1975,assam
861,861,06-1975,madhya pradesh
862,862,06-1975,assam
863,863,08-1975,west bengal
864,864,07-1975,bihar
865,865,07-1975,bihar
866,866,08-1975,bihar
867,867,09-1975,orissa
868,868,09-1975,orissa
869,869,09-1975,orissa
870,870,09-1975,orissa
871,871,07-1975,rajasthan
872,872,07-1975,maharashtra
873,873,08-1975,jharkand
874,874,08-1975,rajasthan
875,875,08-1975,rajasthan
876,876,08-1975,rajasthan
877,877,09-1975,rajasthan
878,878,07-1975,uttar pradesh
879,879,06-1975,maharashtra
880,880,08-1975,telangana
881,881,10-1975,andhra pradesh
882,882,10-1975,andhra pradesh
883,883,10-1975,bihar
884,884,11-1975,kerala
885,885,11-1975,kerala
886,886,06-1976,assam
887,887,06-1976,assam
888,888,07-1976,goa
889,889,07-1976,arunachal pradesh
890,890,07-1976,madhya pradesh
891,891,08-1976,orissa
892,892,08-1976,orissa
893,893,09-1976,uttar pradesh
894,894,09-1976,uttar pradesh
895,895,08-1976,delhi
896,896,08-1976,haryana
897,897,08-1976,haryana
898,898,08-1976,punjab
899,899,08-1976,jammu
900,900,08-1975,rajasthan
901,901,08-1975,rajasthan
902,902,09-1976,rajasthan
903,903,08-1976,gujrat
904,904,07-1976,gujarat
905,905,07-1976,maharashtra
906,906,07-1976,maharashtra
907,907,07-1976,maharashtra
908,908,07-1976,maharashtra
909,909,07-1976,telangana
910,910,07-1976,kerala
911,911,07-1976,kerala
912,912,07-1976,kerala
913,913,10-1976,tamil nadu
914,914,11-1976,tamil nadu
915,915,08-1978,telangana
916,916,08-1978,andhra pradesh
917,917,08-1978,telangana
918,918,08-1978,telangana
919,919,06-1978,assam
920,920,06-1978,assam
921,921,06-1978,madhya pradesh
922,922,06-1978,assam
923,923,07-1978,goa
924,924,08-1978,diphu
925,925,08-1978,west bengal
926,926,09-1978,west bengal
927,927,09-1978,west bengal
928,928,10-1978,west bengal
929,929,07-1978,bihar
930,930,07-1978,bihar
931,931,07-1978,mon
932,932,08-1978,bihar
933,933,08-1978,bihar
934,934,08-1978,bihar
935,935,08-1978,mon
936,936,08-1978,bihar 
937,937,08-1978,mon
938,938,09-1978,mon
939,939,09-1978,bihar
940,940,09-1978,maharashtra
941,941,10-1978,bihar
942,942,03-1978,delhi
943,943,08-1978,delhi
